,Review,Rating,polarity,sentiments,word_count
0,  after thinking a lot i decided to go ahead with iphone   the original price is ₹   after credit card discount₹  old phone exchange₹  and reward points money₹  inclusion i bought it for ₹  theres also an additional   discount on red and white variants but i couldnt let go of blue  price considering iphone   would be supported by ios for   years based on the current price itd cost  k per year and iphone   for   years would cost  kexcluding exchange discount per year for me price gap for both phones didnt seem to make a huge difference as iphone   is already an year old and costing only a  k less per year  display ive purchased iphone   for my mom last year and been observing the display for some months compared to iphone   the iphone   display is far superior and has better pixel quality  bezels the bezels of iphone   are much thinner and makes the phone look decent unlike in   apart from this the phone is incredibly light making it easy to hold ithow to choose between  gbif youre not really tight on budget id suggest to go for  gb variant ive been using one plus for   years and storage  occupied about  gb so itd make good sense to check your current phone usage either way you can also opt for icloud  gb storage which would cost approximately the difference amount of   and   go for   yearscons  could have definitely included the charger for the price  if youre an android user migration would be little time consumingupdate ive uploaded a couple of pictures shot using automatic night mode ,4,0.14625496031746035,1,264
1,"                    the media could not be loaded
                




   bad experience i have purchased iphone from amazon before as well but this time the activation of new iphone   failed when i was setting it up i tried contacting apple support but the serial number mentioned on the box was invalid i really dont know if it is a counterfeit product or there is some technical issue but one thing is sure that apples website is not recognising the imei and serial number of new iphone   i bought from here",1,-0.03246753246753246,0,86
2,  same like the old classic iphone   lookbut now difference is only  inch display or the a   bionic chipand oled hd display,5,0.06666666666666667,1,21
3,   st thing is there is no usb adapterie u need to buy adapter and it will cost u around  also no earphonesapple has became very worse,1,-0.52,0,26
4,  i am writing this after a week of my usage with this iphone   i have had the x before and oneplus  t as welloverall experience of switching to ios again is so good the interface the speed smoothness camera support and everything is so well crafterill be talking about the pros and cons with respect to the apple standards of coursepros  the design is absolutely wonderful its very very light weight and premium feeling phone with vintage boxy look  the speed the performance  camera of course the normal picture comes out pretty good they dont usually need any professional touch  battery life  ill talk about the battery life in day to day life instead of nerdy screen on time i am a doctor and usually dont play much games on this but i surf web a lot youtube videos social media and a lot of whatsapp and sometimes heavy use for   of the time it can get through one day pretty easily with around   hr screen on time  hr stand by time so you can relate now dont believe that it has bad battery it has a pretty good batteryconsnothing much until nowthe back of the phone is fingerprint magnet attracts a lot of themanother concern was the charging adapter which is not provided in the box,5,0.1793333333333333,1,217
5,"                    the media could not be loaded
                




   purchased on  th july return and replacement period is closed on  nd july  hardware issuespeaker problemphone gets hangkeypad vibration and sound issuerestart issue it will take long time  software issues  camera defect",1,0.08333333333333336,1,38
6,  i purchased new apple iphone  with exchange of my samsung m  from day  while charging the body is conducting electricity replaced chargers but still same issue cross checked earthing of homeit is fine  then contacted apple support  they told me to get a replacement from the seller but amazon is just avoiding to replace they asked emails proofs of case id of apple support i provided them but still they are not assuring replacement  they sell defective products and do not replace this is disgusting,1,-0.0893939393939394,0,85
8,  when the iphone   prices were announced i was in a dilemma whether to go for the   or wait for   and since it was my first iphone i thought why not get the   the logic being the phone will last for a couple of years provided you dont drop it often and if you are looking for a phone for a long time horizon then go for the   this one with the better chip and the display will be able to handle the upcoming updates as well the apps which will get even more intensive in the futureall technical specs are really good display is an oled one even visible in extreme sunlight build quality is miles apart my brother uses a samsung galaxy note   and holding this one is way way out of the leagues of all the android phones processor and ram are capable of even running multiple intensive applications i had adobe lightroom imovie and a couple of apps open all to slide between them seamlessly the trick here is that since apps are only made for a very few iphones and ios versions these apps are hardware integrated hence work better a classic example is instagram instagram does feel a bit more polished on the iphone than android faceid even works when theres no light so thats that but it cant identify you with the mask youre left to the pin when youre in the outsidethe battery yes it has a smaller battery yes with intensive use it will run out in a day but if you are a bit prudent with it itll definitely last for more than a day i use  g in between outdoor photography a bit editing email apple music youtube whatsapp and instagram by the end of the day   pm  i usually have   percent remainingso yes its an iphone and yes its really something nice to hold and use daily,5,0.1604320987654321,1,318
9,"                    the media could not be loaded
                




   dear teamplease be informed that i am very dissatisfied by the services provided by amazon buying this much expensive mobile from amazon is not worth i believe they always provide us the defected item i recently purchased i phone   and it is creating a problem while switching on had to try multiple times for the same and this problem occurs every time whenever i switch off the mobile last time also the same issue occur when i bought my one plus   there was issue related to camera image was getting blurred each time and then i have to replace it i think amazon just sell defected items i am very angry and wil take it forward because its second time in a row and will never suggest any one to buy mobile especially from amazon and also want to post the review about this on social media",1,-0.08205128205128205,0,153
10,  long user of both ios  androidreview after   months of usethis pastel green is a treat to the eyea  bionic chip is a bosseasily compete with   year newer snapdragon chips in gaming  thermal managementcamera isp of apple are under appreciated video recording performance is unmatchedthough there are better androids for still clickszoom like pixel  galaxymuch lighter than older   xr  xs series in weight  volume easy to grip you dont know the pain of owing an iphone until you break its screen no experience though xpso ceramichardened display is a nice addconsidering iphone   are out u can grab   at a price drop 😌if camera is most important go for   eyes closed much larger physical sensorevaluate price to value ratiopros  nm chip thermals efficientface id but pain during pandemicgood speakersa  only   to   app on the entire app store that push the gpu to its limitoled for apple its still a feature lolbuild to lastholds valuelags only once a years pun intended 😂finally good battery lifetop   in silicon  camera among all phones  year ossecurity updatesstarting   series apple uses qualcomm modems instead of trash intel ones good signalcons gb ram really applesupper smooth but doesnt hold when keeping multiple heavy apps open at onceios lacks customisation  consumes a lot of data than android for similar tasks on cellularno  hznot price friendly at launch not gonna make a kidney jokeindian taxes aside apple still exploits pricingto sum it up u will cherish this purchaseskip   or below if not sure hold on till iphone se   with a  might launch in  show some love if you find it helpful thanks💛,5,0.1875,1,262
11,  the item looks to be defective and i really doubt that its a refurbished  seconds  faulty device sold by the dealer i had put up for replacement but i dont know it doesnt shows pick up its showing replacement possible till   mar   but not showing and date of collection,1,0.1,1,49
12,  phone is heating up a lot while shooting a video and playing a game even very much difficult to hold such a hot some of the function not at all working like call forwarding morning i have forwarded my call to other number and evening i am trying to turn it off but i am unable to enter into the function at all it rotating from past   hours please i recommend not to purchase this phone at all it is totally a waste of money even security features like face unlock is automatically getting canceled out,1,-0.21562499999999998,0,96
15,  prosvery good build qualitylight weightfits in hands perfectly even though it is   inchexcellent displaydolby vision hdr video recordingamazing camerasmooth performance for everthing gwell optimized softwareface id works perfectly even in dark roomwireless chargingconsonly  w chargingno charger in the boxif this is environment friendly why are they selling it separately on websiteno clear case in the boxit would have been a complete packageno type c to type c connectorslightly expensive it should have been around ,5,0.32812500000000006,1,74
